ER5001,ER5002,ER5006,ER5013,ER5031,ER5032,ER6814,ER6993,ER72001,ER72002,ER72017,ER72024,ER72030,ER72031,ER76897,ER77448
6,701,37,2,5,0,1,29500,,,,,,,,
,,,,,,,,1,2580,67,1,1,140000,1,68010
6,699,68,1,1,48000,1,51205,,,,,,,,
,,,,,,,,1,1261,54,2,5,0,1,16000
6,2031,32,2,5,0,1,38340,1,1220,56,4,1,200000,1,106562
6,2388,72,3,1,130000,1,21774,,,,,,,,
6,631,48,1,1,300000,1,145005,1,911,72,1,1,350000,1,40600
,,,,,,,,1,738,36,1,1,900000,1,194020
6,2387,43,1,1,165000,1,71990,,,,,,,,
,,,,,,,,1,495,46,1,1,225000,1,168000
6,752,44,1,1,210000,1,73051,1,846,69,1,1,480000,1,114626
,,,,,,,,1,228,42,1,1,230000,1,80000
,,,,,,,,1,658,35,2,5,0,1,59850
,,,,,,,,1,1021,33,1,1,250000,1,77270
,,,,,,,,1,944,42,1,1,415000,1,213103
6,1148,89,1,1,35000,1,23981,,,,,,,,
6,6045,49,4,5,0,1,57201,,,,,,,,
6,6947,23,2,1,5000,1,30000,1,5060,47,1,1,99000,1,130600
,,,,,,,,1,6664,40,2,5,0,9,48000
,,,,,,,,1,9050,23,2,5,0,1,3000
,,,,,,,,1,8802,72,3,1,60000,1,20181
6,3455,62,1,1,50000,1,93115,,,,,,,,
6,3217,27,1,5,0,1,32926,,,,,,,,
,,,,,,,,1,7865,39,1,1,220000,1,97000
,,,,,,,,1,9012,45,4,5,0,1,49867
6,297,85,1,1,65000,1,25881,,,,,,,,
